Product name,Price,Rating,No. of ratings,No. of reviews,Product id,Seller details,Product URL
Wonder Star Side Bag Brown Brown P.U. Office Messenger Bag,Rs.  649,4.1,26,1,SDL573875673,aysha leather bags,https://www.snapdeal.com/product/wonder-star-side-bag-brown/633169652695
Parrk - Light Grey Solid Messenger Bags,Rs.  329,4.1,36,1,SDL585839057,kapasiya enterprises,https://www.snapdeal.com/product/parrk-grey-casual-messenger-bag/686576390521
Leather World - Brown Solid Messenger Bags,Rs.  419,4.2,1683,58,SDL195490127,leather world,https://www.snapdeal.com/product/leather-world-sling-cross-body/660030327913
Leather World sling bg Tan P.U. 6 Ltrs Casual Messenger Bag,Rs.  379,4.1,43,N/A,SDL321052458,leather world,https://www.snapdeal.com/product/leather-world-pu-sling-bag/631616402814
MIKE Turquoise Polyester Casual Messenger Bag,Rs.  349,4.1,73,3,SDL355067210,kiddos stationery private limited,https://www.snapdeal.com/product/mike-turquoise-polyester-casual-messenger/632207098171
"Prettykrafts Underbed Storage Bag, Storage Organizer, Blanket Cover with Side Handles (Set of 6 pcs",Rs.  599,3.7,7,N/A,SDL046594524,g creations,https://www.snapdeal.com/product/prettykrafts-underbed-storage-bag-storage/6917529692221545718
MIKE Pink Polyester Casual Messenger Bag,Rs.  575,N/A,N/A,N/A,SDL393817981,kiddos stationery private limited,https://www.snapdeal.com/product/mike-pink-polyester-casual-messenger/623188761094
Da Tasche Black SLvr FIle Black P.U. Office Messenger Bag,Rs.  549,3.6,7,1,SDL701594278,apnav enterprises,https://www.snapdeal.com/product/da-tasche-black-slvr-file/645380718239
Leather World - Brown Solid Messenger Bag,Rs.  419,4.0,715,13,SDL079991245,leather world,https://www.snapdeal.com/product/leather-world-office-sling-messenger/649085511372
RURAL CRAFT - Black Solid Messenger Bags,Rs.  279,4.9,14,1,SDL207164215,fashionphile,https://www.snapdeal.com/product/rural-craft-black-nylon-casual/678967692752
"Prettykrafts Cupboard/Closet/Underbed Storage Box/Basket/Bag, Storage Organizer, Blanket Cover with Side Handles (Set of 3 pcs) - Red",Rs.  249,3.9,218,4,SDL880897160,mensa brand technologies private limited,https://www.snapdeal.com/product/prettykrafts-underbed-storage-bag-storage/6917529681177853605
AQUADOR 1485 Tan P.U. Office Messenger Bag,Rs.  825,N/A,N/A,N/A,SDL620101835,m/s v j m exports,https://www.snapdeal.com/product/aquador-1485-tan-pu-office/635214780221
Leather World - Brown Solid Messenger Bags,Rs.  625,4.4,113,4,SDL601867562,leather world,https://www.snapdeal.com/product/leather-world-office-sling-messenger/644120609649
SW Super World Tan Messenger Bag Tan P.U. Casual Messenger Bag,Rs.  675,4.2,11,N/A,SDL709601529,m j bags,https://www.snapdeal.com/product/sw-super-world-tan-messenger/670052577872
Leather Gifts - Multicolor Colorblocked Messenger Bags,Rs.  399,3.6,9,N/A,SDL048850206,leather world,https://www.snapdeal.com/product/leather-gifts-messenger-bag-blue/658219624123
Goodwin Grey Polyester Casual Messenger Bag,Rs.  555,N/A,N/A,N/A,SDL942210727,orchid international,https://www.snapdeal.com/product/goodwin-grey-polyester-casual-messenger/643338040590
Lychee Bags - Pink Fabric Backpack For Kids,Rs.  269,3.4,9,N/A,SDL229382507,creative fashions,https://www.snapdeal.com/product/lychee-bags-pink-fabric-backpack/629064107806
MYBUDDY - Pink Fabric Backpack For Kids,Rs.  239,4.5,4,N/A,SDL058452850,van international,https://www.snapdeal.com/product/mybuddy-pink-fabric-backpack-for/669924474930
Da Tasche - Black Polyester Backpack For Kids,Rs.  549,5.0,1,N/A,SDL536208076,apnav enterprises,https://www.snapdeal.com/product/da-tasche-black-polyester-backpack/633618349267
MYBUDDY - Red Fabric Backpack For Kids,Rs.  229,4.3,12,3,SDL105818489,van international,https://www.snapdeal.com/product/mybuddy-red-fabric-backpack-for/630005921563
Da Tasche - Navy Blue Polyester Backpack For Kids,Rs.  575,N/A,N/A,N/A,SDL784915783,apnav enterprises,https://www.snapdeal.com/product/da-tasche-navy-blue-polyester/623957042291
MYBUDDY - Pink Fabric Backpack For Kids,Rs.  239,5.0,10,4,SDL092732349,van international,https://www.snapdeal.com/product/mybuddy-pink-fabric-backpack-for/663158418369
HeCe Toys - Pink Fabric Backpack For Kids,Rs.  229,4.2,389,6,SDL030183673,pinakin enterprises,https://www.snapdeal.com/product/hece-toys-pink-school-bag/652112553281
MYBUDDY - Brown Fabric Backpack For Kids,Rs.  229,5.0,4,1,SDL798956826,van international,https://www.snapdeal.com/product/mybuddy-brown-fabric-backpack-for/626692544805
Social Syappa - Pink Fabric Backpack For Kids,Rs.  239,4.0,18,1,SDL667056010,van international,https://www.snapdeal.com/product/social-syappa-pink-fabric-backpack/645496075181
Apnav - Purple Polyester Backpack For Kids,Rs.  449,5.0,4,N/A,SDL341978942,apnav enterprises,https://www.snapdeal.com/product/apnav-purple-polyester-backpack-for/638850148609
MYBUDDY - Pink Fabric Backpack For Kids,Rs.  239,4.8,9,1,SDL132001497,van international,https://www.snapdeal.com/product/mybuddy-pink-fabric-backpack-for/668655087509
MYBUDDY - Pink Fabric Backpack For Kids,Rs.  239,5.0,6,2,SDL060586895,van international,https://www.snapdeal.com/product/mybuddy-pink-fabric-backpack-for/643873255441
Apnav - Blue Polyester Backpack For Kids,Rs.  449,4.0,1,N/A,SDL350931178,apnav enterprises,https://www.snapdeal.com/product/apnav-blue-polyester-backpack-for/627906251595
MYBUDDY - Pink Fabric Backpack For Kids,Rs.  239,5.0,4,4,SDL817312259,van international,https://www.snapdeal.com/product/mybuddy-pink-fabric-backpack-for/659560048896
Apnav - Blue Polyester Backpack For Kids,Rs.  449,5.0,2,N/A,SDL346745344,apnav enterprises,https://www.snapdeal.com/product/apnav-blue-polyester-backpack-for/623328863654
Social Syappa - Pink Fabric Backpack For Kids,Rs.  449,4.0,1,N/A,SDL025558242,van international,https://www.snapdeal.com/product/social-syappa-pink-fabric-backpack/658643668292
Apnav Kids Black And Yellow School Bag,Rs.  319,3.5,48,9,SDL207767057,apnav enterprises,https://www.snapdeal.com/product/apnav-kids-black-and-yellow/619204002702
Apnav Grey and Blue Polyester Kids 30 Ltrs School Bag,Rs.  699,3.8,16,N/A,SDL083038114,apnav enterprises,https://www.snapdeal.com/product/apnav-grey-and-blue-polyester/662748683590
Da Tasche - Navy Blue Polyester Backpack For Kids,Rs.  649,5.0,1,N/A,SDL892094480,apnav enterprises,https://www.snapdeal.com/product/da-tasche-35-ltrs-navy/635475694773
Da Tasche - Black Polyester Backpack For Kids,Rs.  649,N/A,N/A,N/A,SDL197308319,apnav enterprises,https://www.snapdeal.com/product/da-tasche-black-polyester-backpack/633804204825
Style Smith - Multicolor Canvas Tote Bag,Rs.  449,5.0,1,N/A,SDL798108830,juscorp enterprises private limited,https://www.snapdeal.com/product/style-smith-multicolor-canvas-shoulder/680613348340
Fostelo - Tan  PU Shoulder Bag,Rs.  389,4.2,131,6,SDL571477108,fostelo handbags,https://www.snapdeal.com/product/fostelo-tan-pu-shoulder-bag/677458734092
MNS Gallery - Black  PU Sling Bag,Rs.  469,4.0,63,3,SDL112098342,m n shopping gallery,https://www.snapdeal.com/product/mns-gallery-black-pu-sling/654563639715
Krozilla - Green Faux Leather Combo,Rs.  279,5.0,4,1,SDL311292203,ajn creations,https://www.snapdeal.com/product/krozilla-green-faux-leather-combo/5764608146117001529
Element Cart Black Faux Leather Shoulder Bag,Rs.  699,N/A,N/A,N/A,SDL758656525,element cart,https://www.snapdeal.com/product/element-cart-black-faux-leather/8070451163132482894
Style Smith - Brown Faux Leather Sling Bag,Rs.  439,4.7,6,N/A,SDL266608970,juscorp enterprises private limited,https://www.snapdeal.com/product/style-smith-brown-faux-leather/686694479578
TAP FASHION - Wood Brown PU Sling Bag (With Complimentary Pendant Set),Rs.  359,4.3,7,N/A,SDL153237868,tap fashion,https://www.snapdeal.com/product/tap-fashion-green-pu-sling/637856008689
Style Smith - Multicolor Fabric Sling Bag,Rs.  539,4.5,4,N/A,SDL260088104,juscorp enterprises private limited,https://www.snapdeal.com/product/style-smith-multicolor-fabric-sling/633064027671
Strop Carry - Beige PU Sling Bag,Rs.  599,4.3,4,N/A,SDL956231848,element cart,https://www.snapdeal.com/product/strop-carry-black-pu-sling/8070451214810003125
Rudhira - Brown Faux Leather Satchel Bag,"Rs.  1,399",N/A,N/A,N/A,SDL353069331,rudhira world,https://www.snapdeal.com/product/rudhira-brown-faux-leather-satchel/677420785896
Fostelo - Pink  PU Shoulder Bag,Rs.  439,4.2,14,N/A,SDL740817118,fostelo handbags,https://www.snapdeal.com/product/fostelo-pink-pu-shoulder-bag/6917529684189167816
Fostelo - Orange PU Handheld,Rs.  379,4.6,9,N/A,SDL625378707,fostelo handbags,https://www.snapdeal.com/product/fostelo-brown-pu-handheld/7493990426491937395
TAP FASHION - Brown  PU Sling Bag,Rs.  389,4.3,160,8,SDL768863710,tap fashion,https://www.snapdeal.com/product/tap-fashion-pink-pu-sling/5188147440660074230
